question,max_marks,student_answer,awarded,n_issues,issues
Compare the structure of a red blood cell with the structure of a plant cell.,6,"Red Blood Cell (RBC)
Shape: Biconcave disc — this shape increases the surface area for oxygen exchange and helps flexibility through narrow capillaries.
Nucleus: No nucleus (in mature RBCs) — creates more room to carry hemoglobin and oxygen.
Organelles: Lacks most organelles — streamlined to maximize space for hemoglobin.
Cell Wall: No cell wall — only a flexible cell membrane.

Chloroplasts: Absent — doesn’t perform photosynthesis.
Vacuole: No large central vacuole.
Plant Cell
Shape: Usually rectangular or box-shaped due to the rigid cell wall.
Nucleus: Present — controls cell activities and stores DNA.

Organelles: Contains various organelles including mitochondria, chloroplasts (if it's a leaf cell), and endoplasmic reticulum.
Cell Wall: Has a rigid cellulose cell wall for structure and support.

Chloroplasts: Present in green parts — for photosynthesis.
Vacuole: Large central vacuole that",5,0,
Name the structures inside the cell nucleus that contain DNA.,1,plasmids,0,0,
What type of substance does a gene code for?,1,"A gene codes for a protein—or more precisely, for the sequence of amino acids that will form a specific protein.
Each gene contains the instructions, written in the language of DNA, that tell the cell how to assemble these amino acids in the correct order.
The process involves two major steps: transcription, where the gene’s DNA is copied into messenger RNA (mRNA), and translation, where the mRNA is read by ribosomes to build the protein.",1,0,
Name the chemical which the genetic material is made from.,1,"The chemical that makes up genetic material is DNA, which stands for deoxyribonucleic acid.
It carries the instructions cells need to grow, function, and reproduce.
In some viruses, genetic material is made of RNA (ribonucleic acid) instead, but for most living organisms, DNA is the main molecule of heredity.",1,0,
Give three differences between the prokaryotic cell and the eukaryotic cells.,3,"Nucleus: Prokaryotic cells lack a nucleus—their DNA floats freely in the cytoplasm, usually in a region called the nucleoid.
Eukaryotic cells have a true nucleus enclosed by a nuclear membrane.
Cell size and complexity: Prokaryotes are generally smaller and simpler, while eukaryotes are larger and more complex, with many specialized internal structures.
Organelles: Eukaryotic cells contain membrane-bound organelles, such as mitochondria and endoplasmic reticulum. Prokaryotic cells do not have these structures.",3,0,
Give three structures found in a plant cell but not in an animal cell.,3,"Cell wall – This rigid outer layer, made of cellulose, gives plant cells their boxy shape and provides structural support.
Chloroplasts – These green organelles capture sunlight and carry out photosynthesis to produce energy. They're the reason leaves are green!
Large central vacuole – A fluid-filled sac that maintains cell pressure (turgor), stores nutrients, and helps dispose of waste.
It’s much bigger than any vacuole you'd find in animal cells.",3,0,
Explain why muscle cells have more mitochondria than skin cells.,3,"Muscle cells have more mitochondria than skin cells because they need a lot more energy.
Mitochondria are often called the ""powerhouses"" of the cell—they generate energy in the form of ATP through a process called aerobic respiration.
Muscle cells constantly contract and relax to allow movement, whether it’s running, lifting, or even just keeping posture.
All that activity demands a continuous and high supply of energy.
In contrast, skin cells mainly serve as a protective barrier and don't require as much energy to function, so they get by with fewer mitochondria.",3,0,
What is the function of the nucleus?,1,"The nucleus is like the control center of a eukaryotic cell.
Its main function is to store the cell’s genetic material—DNA—and coordinate activities such as growth,",1,0,
Calculate the magnification if an image measures 20mm and the actual object is 0.02mm.,2,"Magnification = Image size ÷ Actual size
Magnification = 20 mm ÷ 0.02 mm = 1000",2,0,
"A bacterial population doubles every 20 minutes.
Starting with 100 bacteria, how many will there be after 2 hours?",4,"After 1st doubling: 100 × 2 = 200  
After 2nd doubling: 200 × 2 = 400  
After 3rd doubling: 400 × 2 = 800  
After 4th doubling: 800 × 2 = 1600  
After 5th doubling: 1600 × 2 = 3200  
After 6th doubling: 3200 × 2 = 6400",4,0,
Calculate the magnification if an image measures 20mm and the actual object is 0.02mm.,2,2000/0.02 = 1000,1,0,
Calculate the magnification if an image measures 20mm and the actual object is 0.02mm.,2,2000/0.02 = 1000,1,0,
Name one type of cell that does not contain a nucleus.,1,brain cell,0,0,
Give two advantages of using an electron microscope instead of a light microscope.,2,"Electron microscopes have a much higher magnification and higher resolution than light microscopes, allowing you to see smaller details clearly.",2,0,
Give two advantages of using an electron microscope instead of a light microscope.,2,Higher magnification and better resolving power.,2,0,
Give two advantages of using an electron microscope instead of a light microscope.,2,"You can see cells with more detail, but they are more powerful than normal microscopes.",0,0,
Give two advantages of using an electron microscope instead of a light microscope.,2,"Electron microscopes have higher magnification, but they use light to see smaller things.",1,0,
Give two advantages of using an electron microscope instead of a light microscope.,2,They are used to look at cells in science experiments.,0,0,
What is the function of ribosomes?,1,produces proteins,1,0,
Explain one way in which root hair cell is adapted to take up water.,2,One key adaptation of root hair cells for taking up water is their large surface area.,1,0,
Name the type of cell division that produces genetically identical body cells for growth and repair.,1,"The type of cell division that makes identical cells for repairing damage or growing bigger is mitosis, which copies the parent cell exactly.",1,0,
Name the type of cell division that produces genetically identical body cells for growth and repair.,1,It is meiosis.,0,0,
Name the type of cell division that produces genetically identical body cells for growth and repair.,1,Photosynthesis,0,0,
Give two advantages of using an electron microscope instead of a light microscope.,2,It has more powerful lenses,0,0,
Give two advantages of using an electron microscope instead of a light microscope.,2,Better for seeing cells,0,0,
Give two advantages of using an electron microscope instead of a light microscope.,2,It uses electrons so it’s more accurate,0,0,
Give two advantages of using an electron microscope instead of a light microscope.,2,Higher magnification,1,0,
Explain why the red blood cell bursts but the plant cell does not burst when placed in water.,2,"Water enters by osmosis, but the plant cell has a cell wall that stops it bursting.",2,0,
Explain why the red blood cell bursts but the plant cell does not burst when placed in water.,2,Water goes in by osmosis and the plant cell is protected by its cell wall so it doesn’t burst.,2,0,
Explain why the red blood cell bursts but the plant cell does not burst when placed in water.,2,Water moves into the cells but the plant has a wall.,1,0,
Explain why the red blood cell bursts but the plant cell does not burst when placed in water.,2,Water moves in and the plant cell stays strong.,0,0,
Explain why the red blood cell bursts but the plant cell does not burst when placed in water.,2,Cells are made of cellulose which helps them stay strong.,0,0,
Explain why the red blood cell bursts but the plant cell does not burst when placed in water.,2,idk,0,0,
What is the function of ribosomes?,1,Ribosomes are the parts of a cell that make proteins for the body,1,0,
What is the function of ribosomes?,1,Ribosomes break down proteins into amino acids,0,0,
What is the function of ribosomes?,1,controls what goes in and out of the cell,0,0,
Explain why root hair cells contain mitochondria.,4,Root hair cells have mitochondria because mitochondria do respiration. Respiration releases energy. That energy is needed for active transport. Active transport moves minerals into the cell against their concentration gradient.,4,0,
Explain why root hair cells contain mitochondria.,4,Root hair cells contain mitochondria so they can do aerobic respiration. This type of respiration releases a lot of energy. The energy is then used in active transport. Active transport helps the root absorb mineral ions from the soil even if there isn’t much of them around.,4,0,
Explain why root hair cells contain mitochondria.,4,They have mitochondria because they need to get energy. The energy helps them get minerals,1,0,
Explain why root hair cells contain mitochondria.,4,Root hair cells contain mitochondria so they can do aerobic respiration. This type of respiration releases a lot of energy. The energy is then used in active transport. Active transport helps the root absorb mineral ions from the soil even if there isn’t much of them around.,4,0,
Explain why root hair cells contain mitochondria.,4,The root hair cells have a large surface area to get more water.,0,0,
Describe three differences between the processes of mitosis and meiosis.,3,Mitosis makes two identical diploid cells while meiosis makes four non-identical haploid cells. Mitosis only has one division but meiosis has two. Mitosis keeps the same number of chromosomes but meiosis halves them.,3,0,
Describe three differences between the processes of mitosis and meiosis.,3,"In mitosis you get two daughter cells which are genetically the same and diploid, but in meiosis you get four cells which are genetically different and haploid.
Also, mitosis just has one division but meiosis goes through two divisions, which means it halves the chromosome number too.",3,0,
Describe three differences between the processes of mitosis and meiosis.,3,Mitosis makes two cells but meiosis makes four. Mitosis does one division but meiosis does two divisions,2,0,
Describe three differences between the processes of mitosis and meiosis.,3,"Mitosis is for growing stuff but meiosis is for making babies, and they do something different with chromosomes.",0,0,
Describe three differences between the processes of mitosis and meiosis.,3,Mitosis happens in body cells like skin cells to help them grow.,0,0,
Describe three differences between the processes of mitosis and meiosis.,3,Mitosis and meiosis both happen during photosynthesis,0,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,"one has a nucleus, other one doesnt
one is bigger than the other",0,0,
Explain one way in which the root hair cell is adapted to take up water.,2,Root hair cells have hairs which are good at taking in water,0,0,
Explain one way in which the root hair cell is adapted to take up water.,2,Root hair cells have hairs which are good at taking in water,0,0,
Explain one way in which the root hair cell is adapted to take up water.,2,Root hair cells have hairs which are good at taking in water,0,0,
Explain one way in which the root hair cell is adapted to take up water.,2,Root hair cells have hairs which are good at taking in water,0,0,
Explain one way in which the root hair cell is adapted to take up water.,2,Root hair cells have hairs which are good at taking in water,0,0,
Explain why muscle cells have more mitochondria than skin cells.,3,Mitochondria release energy and muscles require energy to contract,1,0,
Explain why muscle cells have more mitochondria than skin cells.,3,Mitochondria release energy and muscles require energy to contract,1,0,
Describe an investigation you could carry out to measure the rate of photosynthesis in pondweed.,6,"Independent variable = the distance from light source to pondweed
Dependent variable =  volume of oxygen gas formed
Control variable = Temperature, size of pondweed, volume of water used

Place a breaker 10cm away from a light source using a ruler
Then place a pondweed plant inside a water bath and seal the container -> allow a small hole for a gas syringe to take the gas in 
Leave it for 1 min and note down the reading for the volume on 
the gas syringe 
Repeat the process moving the light source back 10cm each time until 50cm recording the volume of gas each time 
Once the data has been recorded in a table, plot a graph with the distance from light source on x-axis and volume of oxygen produced on y-axis 
draw a line of best fit to measure the rate of photosynthesis",3,0,
What is a stem cell?,2,A undifferentiated cell that can turn into any type of cell,2,0,
List four adaptations of the alveoli that help gas exchange.,4,i dont know,0,0,
Give one way a malignant tumour differs from a benign tumour.,1,malignant spreads to surrouding tissues but benign does not spread,0,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,they are both cells and end in yotic,0,0,
What is the function of the nucleus?,1,to breathe,0,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,pro is good eu is no good,0,0,
List four adaptations of the alveoli that help gas exchange.,4,"large surface area to volume ratio
good blood supply",0,0,
List four adaptations of the alveoli that help gas exchange.,4,"good blood supply
thin walls",0,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,dog,0,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,dog,0,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,dog,0,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,dog,0,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,both have mitochondria,0,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,both have cytoplasm,0,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,cytoplasm,0,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,cytoplasm,0,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,cytoplasm,0,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,cytoplasm,1,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,"cytoplasm, cell membrane",2,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,idk,0,0,
Give two similarities between prokaryotic cells and eukaryotic cells.,2,cytoplasm,1,0,
Name the chemical which the genetic material is made from.,1,DNA,1,0,
Give three structures found in a plant cell but not in an animal cell.,3,"baking soda, flour, cell wall",1,0,
List four adaptations of the alveoli that help gas exchange.,4,"Large surface area, increased blood flow",2,0,
